City,State,Last Name ,"First Name, Middle In.",Decisions,% Grants,% Denials
San Diego,CA,Renner, Renee L.,298,62.1,37.9
San Francisco,CA,Murry, Anthony S.,514,2.3,97.7
San Francisco,CA,Yamaguchi, Michael J.,211,4.3,95.7
San Francisco,CA,Yeargin, Robert,286,45.5,54.5
San Francisco,CA,Tue, Phan-Quang,229,49.3,50.7
San Francisco,CA,Teeter, Marilyn J.,235,58.3,41.7
San Francisco,CA,Maggard, Robert P.,252,61.1,38.9
San Francisco,CA,Daw, Alison E.,281,63,37
San Francisco,CA,Geisse, Loreto S.,685,65.7,34.3
San Francisco,CA,Hayward, Miriam R.,181,65.7,34.3
San Francisco,CA,Webber, Polly A.,588,66.2,33.8
San Francisco,CA,Griswold, Stephen S.,622,67.8,32.2
San Francisco,CA,King, Carol A.,442,71.5,28.5
San Francisco,CA,Lyons, Joren,499,72.7,27.3
San Francisco,CA,Hoogasian, Amy C.,316,75,25
San Francisco,CA,Marks, Dana Leigh,497,82.9,17.1
San Francisco,CA,Greene," Charles S., III",112,83,17
San Francisco,CA,Ramirez, Laura L.,574,84.7,15.3
Seattle,WA,Parchert, Brett M.,543,30,70
Seattle,WA,Walsh, John F.,234,38.9,61.1
Seattle,WA,Josephson, Kenneth,1203,39.9,60.1
Seattle,WA,Kandler, Edward R.,426,41.8,58.2
Seattle,WA,Defonzo, Paul A.,658,47.4,52.6
Tacoma,WA,Fitting, Tammy L.,414,26.8,73.2
Tacoma,WA,Scala, Theresa M.,477,28.5,71.5
Tacoma,WA,Odell, John C.,289,28.7,71.3
Tucson,AZ,Keenan, Sean H.,162,36.4,63.6
Tucson,AZ,O'Leary, Thomas Michael,163,46.6,53.4
West Valley City,UT,Anderson, David C.,115,24.3,75.7
York,PA,Arthur, Andrew R.,187,9.6,90.4
York,PA,Bain, Quynh Vu,160,18.1,81.9
York,PA,Durling, Walter A.,225,24.4,75.6
